Source,Target,Type,Id,Label,timeset,Weight
n0,n1,Directed,0,,,2
n0,n2,Directed,1,,,2
n0,n3,Directed,2,,,2
n0,n4,Directed,3,,,2
n0,n5,Directed,4,,,2
n0,n9,Directed,5,,,2
n0,n10,Directed,6,,,2
n0,n11,Directed,7,,,2
n1,n0,Directed,8,,,2
n1,n2,Directed,9,,,2
n1,n3,Directed,10,,,2
n1,n4,Directed,11,,,2
n1,n5,Directed,12,,,2
n1,n7,Directed,13,,,2
n1,n9,Directed,14,,,2
n1,n10,Directed,15,,,2
n1,n11,Directed,16,,,2
n1,n14,Directed,17,,,2
n2,n0,Directed,18,,,2
n2,n1,Directed,19,,,2
n2,n3,Directed,20,,,2
n2,n4,Directed,21,,,2
n2,n5,Directed,22,,,2
n2,n6,Directed,23,,,2
n2,n7,Directed,24,,,2
n2,n9,Directed,25,,,2
n2,n10,Directed,26,,,2
n2,n11,Directed,27,,,2
n2,n12,Directed,28,,,2
n2,n13,Directed,29,,,2
n2,n14,Directed,30,,,2
n2,n16,Directed,31,,,2
n2,n17,Directed,32,,,2
n2,n40,Directed,33,,,2
n2,n41,Directed,34,,,2
n2,n42,Directed,35,,,2
n3,n0,Directed,36,,,2
n3,n1,Directed,37,,,2
n3,n2,Directed,38,,,2
n3,n4,Directed,39,,,2
n3,n5,Directed,40,,,2
n3,n7,Directed,41,,,2
n3,n9,Directed,42,,,2
n3,n10,Directed,43,,,2
n3,n11,Directed,44,,,2
n3,n15,Directed,45,,,2
n3,n16,Directed,46,,,2
n3,n17,Directed,47,,,2
n3,n58,Directed,48,,,2
n3,n59,Directed,49,,,2
n4,n0,Directed,50,,,2
n4,n1,Directed,51,,,2
n4,n2,Directed,52,,,2
n4,n3,Directed,53,,,2
n4,n6,Directed,54,,,2
n4,n8,Directed,55,,,2
n4,n9,Directed,56,,,2
n4,n11,Directed,57,,,2
n4,n14,Directed,58,,,2
n4,n15,Directed,59,,,2
n4,n16,Directed,60,,,2
n4,n17,Directed,61,,,2
n4,n50,Directed,62,,,2
n4,n51,Directed,63,,,2
n4,n58,Directed,64,,,2
n4,n59,Directed,65,,,2
n5,n0,Directed,66,,,2
n5,n1,Directed,67,,,2
n5,n2,Directed,68,,,2
n5,n3,Directed,69,,,2
n5,n4,Directed,70,,,2
n5,n6,Directed,71,,,2
n5,n9,Directed,72,,,2
n5,n12,Directed,73,,,2
n5,n13,Directed,74,,,2
n5,n15,Directed,75,,,2
n5,n16,Directed,76,,,2
n5,n17,Directed,77,,,2
n5,n58,Directed,78,,,2
n5,n59,Directed,79,,,2
n6,n1,Directed,80,,,2
n6,n2,Directed,81,,,2
n6,n4,Directed,82,,,2
n6,n5,Directed,83,,,2
n6,n15,Directed,84,,,2
n6,n50,Directed,85,,,2
n6,n51,Directed,86,,,2
n6,n58,Directed,87,,,2
n6,n59,Directed,88,,,2
n7,n0,Directed,89,,,2
n7,n1,Directed,90,,,2
n7,n2,Directed,91,,,2
n7,n3,Directed,92,,,2
n7,n4,Directed,93,,,2
n7,n6,Directed,94,,,2
n7,n8,Directed,95,,,2
n7,n10,Directed,96,,,2
n7,n11,Directed,97,,,2
n8,n2,Directed,98,,,2
n8,n4,Directed,99,,,2
n8,n6,Directed,100,,,2
n8,n7,Directed,101,,,2
n8,n10,Directed,102,,,2
n8,n15,Directed,103,,,2
